"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Mobile - Sort Goods Tests","4","0","","0"
"0","","0","Mobile - Login Negative Tests","5","0","","0"
"0","","0","API - Create Pet Negative Tests","8","0","","0"
"0","","0","Mobile - Cart Tests","1","0","","0"
"0","","0","API - Delete Pet Tests","1","0","","0"
"0","","0","Mobile - Login Tests","1","0","","0"
"0","","0","API - Get Pet Tests","1","0","","0"
"0","","0","API - Update Pet Tests","1","0","","0"
"0","","0","API - Create Pet Tests","1","0","","0"
